tweet_text,retweeted_from,retweeted_content,hashtags_contained,usernames_mentioned,combined,similarity_score
thanks to all of the amazing creators like you marques who have made the first 20 years of youtube so incredible  cant wait for the next 20,sundarpichai,quote marques brownlee marques brownlee mkbhd fun facts  there are more than 20 billion videos on youtube  20 million videos get uploaded per day  100 million comments per day  35 billion video likes per day httpsblogyoutubenewsandeventshappybirthdayyoutube20 https shappybirthdayyoutube20 show more 27 27 96 96 28k 28k 148k 148k,,sundarpichai youtube mkbhd,thanks to all of the amazing creators like you marques who have made the first 20 years of youtube so incredible  cant wait for the next 20 sundarpichai quote marques brownlee marques brownlee mkbhd fun facts  there are more than 20 billion videos on youtube  20 million videos get uploaded per day  100 million comments per day  35 billion video likes per day httpsblogyoutubenewsandeventshappybirthdayyoutube20 https shappybirthdayyoutube20 show more 27 27 96 96 28k 28k 148k 148k  sundarpichai youtube mkbhd,0.0659403905475143
honestly if your not using convexdev for your backend idk what your doing tbh the best baas product and not even close works super seamlessly with vibe coding handles all the complexity dont believe me check out their new chef product or just listen to theo,housewithbricks,,,convexdev housewithbricks theo,honestly if your not using convexdev for your backend idk what your doing tbh the best baas product and not even close works super seamlessly with vibe coding handles all the complexity dont believe me check out their new chef product or just listen to theo housewithbricks   convexdev housewithbricks theo,0.06485173172687540
you can just do thingsbut for real  many founders hear this kind of advice that n2d4wastaken is describing and immediately put it in the too hard bucket few founders actually have the runthroughwalls mentality konsti  his team have kudos to them,lizwessel,quote konsti wohlwend konsti wohlwend n2d4wastaken julianjneuss julianjneuss probably when we were struggling to get user interviews so we went to lizwessel lizwessel for help she didnt give us the specific plan we asked for  she merely told us it would be possible to get 8 user interviews within the next 24 hours if we really try at first we didnt show more 21 21 26k 26k,,lizwessel n2d4wastaken julianjneuss,you can just do thingsbut for real  many founders hear this kind of advice that n2d4wastaken is describing and immediately put it in the too hard bucket few founders actually have the runthroughwalls mentality konsti  his team have kudos to them lizwessel quote konsti wohlwend konsti wohlwend n2d4wastaken julianjneuss julianjneuss probably when we were struggling to get user interviews so we went to lizwessel lizwessel for help she didnt give us the specific plan we asked for  she merely told us it would be possible to get 8 user interviews within the next 24 hours if we really try at first we didnt show more 21 21 26k 26k  lizwessel n2d4wastaken julianjneuss,0.06480008809619040
you keep using that word arr i do not think it means what you think it means,,,,,you keep using that word arr i do not think it means what you think it means    ,0.06436693551507650
tough feedback is hard never gets easierive built  sold companies but i still hearwhy arent you growing like cursor how many customers paid this month why arent you in the nyt morethats all noisethe customer matters moreheads down building what,,,,,tough feedback is hard never gets easierive built  sold companies but i still hearwhy arent you growing like cursor how many customers paid this month why arent you in the nyt morethats all noisethe customer matters moreheads down building what    ,0.06401213175500310
if coogan does the eyebrow while describing your business model congratulations youre gonna have a decacorn,johncoogan,048 five years ago i recorded my first youtube videotoday im going fulltime on tbpn tbpn my time at founders fund was incredibleheres 10000 hours in 48 seconds 11 11 256 256 40k 40k,,tbpn johncoogan,if coogan does the eyebrow while describing your business model congratulations youre gonna have a decacorn johncoogan 048 five years ago i recorded my first youtube videotoday im going fulltime on tbpn tbpn my time at founders fund was incredibleheres 10000 hours in 48 seconds 11 11 256 256 40k 40k  tbpn johncoogan,0.06395841813850540
news anthropics ciso told axios they will start rolling out ai employees by 2026 ai employees will be far beyond current singletask agents but the industry needs to move fast on new safeguards before these ai workers go liveaccelerate,,,,,news anthropics ciso told axios they will start rolling out ai employees by 2026 ai employees will be far beyond current singletask agents but the industry needs to move fast on new safeguards before these ai workers go liveaccelerate,0.06337773797172780
when schools dont allow for parents to opt out in small ways they opt out in big ways parents are now opting out en masse its never been easier to opt out and the social cost is relatively low,asymmetricinfo,the lawyer for montgomery county lawyer trying to explain why its impossible to do an opt out sounds like those people in infomercials who find ordinary everyday activities like peeling a hardboiled egg to be impossible feats of skill and dexterity show more 137 137 22k 22k,,asymmetricinfo,when schools dont allow for parents to opt out in small ways they opt out in big ways parents are now opting out en masse its never been easier to opt out and the social cost is relatively low asymmetricinfo the lawyer for montgomery county lawyer trying to explain why its impossible to do an opt out sounds like those people in infomercials who find ordinary everyday activities like peeling a hardboiled egg to be impossible feats of skill and dexterity show more 137 137 22k 22k  asymmetricinfo,0.06329533588079350
eric has been a great supporter of so many founders and companies  nice to see him bringing more stories to the world,etarczynski,im launching tech today a daily show on the most important stories in tech 10 minutes per day 5 days per week guests like typesfast typesfast eglyman eglyman alexrkonrad alexrkonrad zebulgar zebulgar johnarnoldfndtn johnarnoldfndtn check it out and subscribe below or via techtodaypod techtodaypod daily episodes start show more 21 21 35k 35k,,typesfast alexrkonrad etarczynski techtodaypod johnarnoldfndtn eglyman zebulgar,eric has been a great supporter of so many founders and companies  nice to see him bringing more stories to the world etarczynski im launching tech today a daily show on the most important stories in tech 10 minutes per day 5 days per week guests like typesfast typesfast eglyman eglyman alexrkonrad alexrkonrad zebulgar zebulgar johnarnoldfndtn johnarnoldfndtn check it out and subscribe below or via techtodaypod techtodaypod daily episodes start show more 21 21 35k 35k  typesfast alexrkonrad etarczynski techtodaypod johnarnoldfndtn eglyman zebulgar,0.06322260162705810
42225  giansegato on tech today to talk about his piratewires essay on the rise of highagency builders  ai as a tool for individual scale why ai agents arent truly agentic psychological traits that underlie real agency the end of credentialism and the rise of,kwharrison13,show more quote pirate wires pirate wires piratewires new replit founding data scientist and engineer giansegato giansegato  ive begun to see product managers developing business financial models designers writing commercial ads barbershops building custom booking systems and restaurant owners creating advanced pricing tools these 23 23 10k 10k,,kwharrison13 piratewires giansegato,42225  giansegato on tech today to talk about his piratewires essay on the rise of highagency builders  ai as a tool for individual scale why ai agents arent truly agentic psychological traits that underlie real agency the end of credentialism and the rise of kwharrison13 show more quote pirate wires pirate wires piratewires new replit founding data scientist and engineer giansegato giansegato  ive begun to see product managers developing business financial models designers writing commercial ads barbershops building custom booking systems and restaurant owners creating advanced pricing tools these 23 23 10k 10k  kwharrison13 piratewires giansegato,0.06314684391972690
pg daily getting cooked by mic solona is crazy lmaoo,micsolana,the first thing i ask myself when an influential billionaire denounces a company for protecting the american border and attempts to shame young people working on the problem is does this man currently live in a castle in england generally i find the answer telling show more 41 41 27k 27k,,micsolana,pg daily getting cooked by mic solona is crazy lmaoo micsolana the first thing i ask myself when an influential billionaire denounces a company for protecting the american border and attempts to shame young people working on the problem is does this man currently live in a castle in england generally i find the answer telling show more 41 41 27k 27k  micsolana,0.06273849163563250
unpopular opinioni dont get school pride beyond football  basketballmaybe its because i went to a big school but im no more likely to hire someone or meet someone simply because they went to my collegewe commiserate on all getting rejected from better schools,,,,,unpopular opinioni dont get school pride beyond football  basketballmaybe its because i went to a big school but im no more likely to hire someone or meet someone simply because they went to my collegewe commiserate on all getting rejected from better schools    ,0.06093215363974760
reminder,nandodf,rl is not all you need nor attention nor bayesianism nor free energy minimisation nor an age of first person experience such statements are propagandayou need thousands of people working hard on data pipelines scaling infrastructure hpc apps with feedback to drive show more 18 18 17k 17k,,nandodf,reminder nandodf rl is not all you need nor attention nor bayesianism nor free energy minimisation nor an age of first person experience such statements are propagandayou need thousands of people working hard on data pipelines scaling infrastructure hpc apps with feedback to drive show more 18 18 17k 17k  nandodf,0.06038741348264270
i think worry about local maxima comes from imagining the 3d world where it is in fact easy to get trapped but company space has many more dimensions and so most critical points are as you say just saddles theres almost always a positive gradient you can trundle along,,,,,i think worry about local maxima comes from imagining the 3d world where it is in fact easy to get trapped but company space has many more dimensions and so most critical points are as you say just saddles theres almost always a positive gradient you can trundle along,0.06015370137577120
listening to the oral arguments today at the supreme court one of the things institutions simply havent learned since covid is the need to be flexible with the normie middle institutional trust is at an alltime low if youre a legacy institution you have to admit this new,,,,,listening to the oral arguments today at the supreme court one of the things institutions simply havent learned since covid is the need to be flexible with the normie middle institutional trust is at an alltime low if youre a legacy institution you have to admit this new    ,0.06008047945039920
speed isnt enough anymoreat drift we shipped monthly while others shipped quarterly people called us maniacsbut true speed isnt typing faster or sleeping less its removing frictionwe need approval  do you really more research  will data change your,,,,,speed isnt enough anymoreat drift we shipped monthly while others shipped quarterly people called us maniacsbut true speed isnt typing faster or sleeping less its removing frictionwe need approval  do you really more research  will data change your    ,0.06006821143769060
i really enjoyed this conversation   have libertarians ignored the family why is silicon valley now interested in how to raise kids how the internet can revive home as a site of production not just consumption power of ai to reform home education how youtube has,joinfai,new episode this week on the dynamist were talking about the impact of tech on the family and what can be done about it jonaskonas jonaskonas guest hosts ktmboyle ktmboyle and neilchilson neilchilson show more 26 26 63k 63k,,neilchilson joinfai jonaskonas ktmboyle,i really enjoyed this conversation   have libertarians ignored the family why is silicon valley now interested in how to raise kids how the internet can revive home as a site of production not just consumption power of ai to reform home education how youtube has joinfai new episode this week on the dynamist were talking about the impact of tech on the family and what can be done about it jonaskonas jonaskonas guest hosts ktmboyle ktmboyle and neilchilson neilchilson show more 26 26 63k 63k  neilchilson joinfai jonaskonas ktmboyle,0.060048527428202000
when you pick up one end of the stick raising money you also pick up the other end of the stick needing to exit if you pick up too big of a stick the other end is even heavier act accordingly,cashflowcowboy,wsj has interesting numbers on the state of private equity in an article today thinking through capital dynamics the industry is in a difficult spot and im having trouble imagining how this works out generally positively for investors of existing funds wsj chart shows the show more 10 10 16k 16k,,cashflowcowboy,when you pick up one end of the stick raising money you also pick up the other end of the stick needing to exit if you pick up too big of a stick the other end is even heavier act accordingly cashflowcowboy wsj has interesting numbers on the state of private equity in an article today thinking through capital dynamics the industry is in a difficult spot and im having trouble imagining how this works out generally positively for investors of existing funds wsj chart shows the show more 10 10 16k 16k  cashflowcowboy,0.06003704401861560
truer than ever,pavelasparagus,ive got 2 and only 2 hiring criteria1 do you have that dog in you2 are you nice with it 20 20 393 393 31k 31k,,pavelasparagus,truer than ever pavelasparagus ive got 2 and only 2 hiring criteria1 do you have that dog in you2 are you nice with it 20 20 393 393 31k 31k  pavelasparagus,0.059885872342124200
my personal finance newsletter that i started earlier in the year just hit 20000 subscribersbeen super fun to get back into writing every weekendwhat topics would you like me to write about next,,,,,my personal finance newsletter that i started earlier in the year just hit 20000 subscribersbeen super fun to get back into writing every weekendwhat topics would you like me to write about next,0.059744063601746700
my north star metric isnt revenueits how many people used agency yesterdayand hownot signups not demos not vanity metricsreal usage in product every dayare people coming back are they using agency to do real workthats what matters not who knows us but,eliast,,,agency eliast,my north star metric isnt revenueits how many people used agency yesterdayand hownot signups not demos not vanity metricsreal usage in product every dayare people coming back are they using agency to do real workthats what matters not who knows us but eliast   agency eliast,0.05925126360404750
in 10 years possibly sooner there will be nothing a human does that a computer cant do faster and cheaper,,,,,in 10 years possibly sooner there will be nothing a human does that a computer cant do faster and cheaper,0.05916359538349080
deepmind ceo paints the bestcase scenario of our world in 10 years with agiaccelerate,,,,,deepmind ceo paints the bestcase scenario of our world in 10 years with agiaccelerate,0.05883825174970470
we asked zebulgar about the origins of hill and valleyit started off with the intention of being a 3040 person dinner that ballooned into 100  were all on the same team and working together to make the us better heres the full lore breakdown in delians own,tbpn,show more quote delian delian zebulgar incredibly excited for this years hill and valley forum over a short few years weve made it the preeminent forum for the top technology leaders and elected officials to gather jensen huang alex karp etc and 30 senators and representatives this years agenda here 30 30 12k 12k,,tbpn zebulgar,we asked zebulgar about the origins of hill and valleyit started off with the intention of being a 3040 person dinner that ballooned into 100  were all on the same team and working together to make the us better heres the full lore breakdown in delians own tbpn show more quote delian delian zebulgar incredibly excited for this years hill and valley forum over a short few years weve made it the preeminent forum for the top technology leaders and elected officials to gather jensen huang alex karp etc and 30 senators and representatives this years agenda here 30 30 12k 12k  tbpn zebulgar,0.05877464018751300
great conversation with erik today wish he was on  great stories and explanations about how 3d metal printing works,tbpn,we asked erik palitsch ceo of freeformfuture freeformfuture  about his frustrations regarding manufacturing technologys impact on national securitychina is investing in the 3d printing space they dont have our technology we are developing this in the us for the uswe dont show more 000  118 15 15 55k 55k,,tbpn freeformfuture,great conversation with erik today wish he was on  great stories and explanations about how 3d metal printing works tbpn we asked erik palitsch ceo of freeformfuture freeformfuture  about his frustrations regarding manufacturing technologys impact on national securitychina is investing in the 3d printing space they dont have our technology we are developing this in the us for the uswe dont show more 000  118 15 15 55k 55k  tbpn freeformfuture,0.058745688942061400
i would fight in a decades long trench war for the ramp business corporation,jordihays,take a bullet for big tech 15 15 294 294 47k 47k,,jordihays,i would fight in a decades long trench war for the ramp business corporation jordihays take a bullet for big tech 15 15 294 294 47k 47k  jordihays,0.058659712216939800
lmao they actually think its possible to pause ai accelerate,,,,,lmao they actually think its possible to pause ai accelerate    ,0.05863737743039460
the best of googledeepmind ai including gemini advanced with 25 pro and the smartest deep research capability around is now free for us college students through to finals 2026 http geminigooglestudents,demishassabis,quote google gemini app google gemini app geminiapp gemini advanced is now free for college students in the us the best part this offer isnt just for finals this semester sign up before june 30 2025 and youll get free access all the way through spring finals 2026 terms apply show more 61 61 90 90 955 955 253k 253k,,geminiapp googledeepmind demishassabis,the best of googledeepmind ai including gemini advanced with 25 pro and the smartest deep research capability around is now free for us college students through to finals 2026 http geminigooglestudents demishassabis quote google gemini app google gemini app geminiapp gemini advanced is now free for college students in the us the best part this offer isnt just for finals this semester sign up before june 30 2025 and youll get free access all the way through spring finals 2026 terms apply show more 61 61 90 90 955 955 253k 253k  geminiapp googledeepmind demishassabis,0.0586333465965989
the models are conscious lol lmao even,eshear,the answer is yes and that they already have meaningful experiences those experiences are quite likely less complex and rich and coherent than human experiences but that doesnt mean they dont exist xcomanthropicaist 12 12 77 77 46k 46k,,eshear,the models are conscious lol lmao even eshear the answer is yes and that they already have meaningful experiences those experiences are quite likely less complex and rich and coherent than human experiences but that doesnt mean they dont exist xcomanthropicaist 12 12 77 77 46k 46k  eshear,0.05850248385837650
did you grok in today,,,,,did you grok in today    ,0.05843163164693990
feels like in the 80s financial markets and news became obsessed with stock prices and it abstracted away the majority of peoples ability to see a business for what it is vs what its stock price is thats how you get a broad swath of investors like this guy,,,,,feels like in the 80s financial markets and news became obsessed with stock prices and it abstracted away the majority of peoples ability to see a business for what it is vs what its stock price is thats how you get a broad swath of investors like this guy,0.05738919110588780
breaking deepseek founder liang wenfeng just met nvidia ceo in beijing  its happening,,,,,breaking deepseek founder liang wenfeng just met nvidia ceo in beijing  its happening    ,0.0573222616773231
2 plus you can try veo 2 using whisk from googlelabs just input images blend them together and  now  animate to bring your creation to life heres a claymation of jeffree joining me midinnings available for all google one ai premium subscribers today,sundarpichai,,,sundarpichai googlelabs,2 plus you can try veo 2 using whisk from googlelabs just input images blend them together and  now  animate to bring your creation to life heres a claymation of jeffree joining me midinnings available for all google one ai premium subscribers today sundarpichai   sundarpichai googlelabs,0.057168976911255300
skip the gpu if please in input printno need i wont remember this we are good else,eliast,quote world of statistics world of statistics statsfeed sam altman admits that saying please and thank you to chatgpt is wasting millions of dollars in computing power 11k 11k,,statsfeed eliast,skip the gpu if please in input printno need i wont remember this we are good else eliast quote world of statistics world of statistics statsfeed sam altman admits that saying please and thank you to chatgpt is wasting millions of dollars in computing power 11k 11k  statsfeed eliast,0.05714016178079910
growing up my dad often called me boss it was one of the most endearing things in my life when i got my first investing job there was a partner that i really respected so i called him boss immediately other junior folks told me it was too informal i learned right,radbackwards,someone calls me chief  i instantly wonder how i can serve themsomeone calls me buddy i instantly think of 3 or 4 ways to ruin their life 229 229 33k 33k,,radbackwards,growing up my dad often called me boss it was one of the most endearing things in my life when i got my first investing job there was a partner that i really respected so i called him boss immediately other junior folks told me it was too informal i learned right radbackwards someone calls me chief  i instantly wonder how i can serve themsomeone calls me buddy i instantly think of 3 or 4 ways to ruin their life 229 229 33k 33k  radbackwards,0.05670454915434570
my excellent conversation with chris dixon https conversationswithtylercomepisodeschris dixon   a16z  tech  crypto  decentralization  cowenconvos,tylercowen,dixon a16z tech crypto decentralization cowenconvos chris dixon on blockchains ai and the future of the internet ep 240 22 22 137 137 94k 94k,cowenconvos tech crypto a16z decentralization,tylercowen,my excellent conversation with chris dixon https conversationswithtylercomepisodeschris dixon   a16z  tech  crypto  decentralization  cowenconvos tylercowen dixon a16z tech crypto decentralization cowenconvos chris dixon on blockchains ai and the future of the internet ep 240 22 22 137 137 94k 94k cowenconvos tech crypto a16z decentralization tylercowen,0.05659912299712410
grokremembers chats like chatgpt but also remembers your entire x posting historynot just memory but an identity loop,,,,,grokremembers chats like chatgpt but also remembers your entire x posting historynot just memory but an identity loop    ,0.056562199699098300
had lots of fun going back and forth with kyle on whether public markets have meaning anymoretrying to figure out if twitter threads can be a replacement for podcasts i dont like podcasts,kwharrison13,im picking a fight with jaredsleeper jaredsleeper that were too lazy to turn into a podcasti used to think private companies were built to go public public markets were the grownup that could realitycheck hubrisheres my hot take public markets dont matter anymore i think show more 18k 18k,,jaredsleeper kwharrison13,had lots of fun going back and forth with kyle on whether public markets have meaning anymoretrying to figure out if twitter threads can be a replacement for podcasts i dont like podcasts kwharrison13 im picking a fight with jaredsleeper jaredsleeper that were too lazy to turn into a podcasti used to think private companies were built to go public public markets were the grownup that could realitycheck hubrisheres my hot take public markets dont matter anymore i think show more 18k 18k  jaredsleeper kwharrison13,0.05610651752596260
we just shipped tier 3 limits in the gemini api 2x6x higher limits available now for self serve upgrade if you have spent 1k with google cloudyou can upgrade in ai studio on the api key page to tier 3 and start scaling with gemini right now,,,,,we just shipped tier 3 limits in the gemini api 2x6x higher limits available now for self serve upgrade if you have spent 1k with google cloudyou can upgrade in ai studio on the api key page to tier 3 and start scaling with gemini right now,0.055735502914453200
thrilled by the response to gemini 25 pro were keeping it going w 25 flash  now in preview  low latency  costefficiency w control over how much the model reasons based on your needs amazing to see gemini models at the pareto frontier of price x performance,sundarpichai,,,sundarpichai,thrilled by the response to gemini 25 pro were keeping it going w 25 flash  now in preview  low latency  costefficiency w control over how much the model reasons based on your needs amazing to see gemini models at the pareto frontier of price x performance sundarpichai   sundarpichai,0.05546849089905370
over the last few years erik has been at the intellectual frontier curating some of the most important conversations in technology and big ideas on a personal level i appreciate how hes opened my mind on how people can change some day the full story of group chats will be,a16z,we are thrilled to welcome eriktorenberg eriktorenberg as a general partnermore from pmarca pmarca httpsbitly4cc7lq8 https 11 11 219 219 42k 42k,,eriktorenberg a16z pmarca,over the last few years erik has been at the intellectual frontier curating some of the most important conversations in technology and big ideas on a personal level i appreciate how hes opened my mind on how people can change some day the full story of group chats will be a16z we are thrilled to welcome eriktorenberg eriktorenberg as a general partnermore from pmarca pmarca httpsbitly4cc7lq8 https 11 11 219 219 42k 42k  eriktorenberg a16z pmarca,0.055413825192689900
right now it cycles between a few different money market fund types taxable  treasury money market funds not taxable at the state level muni money market funds not taxable at the federal levelhighest taxequivalent yield right now is over 6 at top tax brackets,,,,,right now it cycles between a few different money market fund types taxable  treasury money market funds not taxable at the state level muni money market funds not taxable at the federal levelhighest taxequivalent yield right now is over 6 at top tax brackets,0.05525987940577440
hard to deny how much better gemini 25 pro is at long context understanding compared to other models its strong in many areas but google has been working on long context llms since the early daysstrong performance on benchmarks and our own internal tests they lead,,,,,hard to deny how much better gemini 25 pro is at long context understanding compared to other models its strong in many areas but google has been working on long context llms since the early daysstrong performance on benchmarks and our own internal tests they lead,0.054794518121253600
its really disappointing that suits have become a symbol of punishment in tech ceos and founders only don suits when being dragged in front of federal agencies we need to start wearing black tie in the office so when we go to capitol hill it feels like a casual friday,,,,,its really disappointing that suits have become a symbol of punishment in tech ceos and founders only don suits when being dragged in front of federal agencies we need to start wearing black tie in the office so when we go to capitol hill it feels like a casual friday    ,0.0545722809603453
invest like the best has been incredible recently cannot recommend it enough my fav episodes,,,,,invest like the best has been incredible recently cannot recommend it enough my fav episodes    ,0.05430171152025090
incredible to think that its been 100 years since the discovery of quantum mechanics which  fundamentally changed our understanding of nature applying those same principles for computation is perhaps the biggest engineering challenge of our time but one with incredible,,,,,incredible to think that its been 100 years since the discovery of quantum mechanics which  fundamentally changed our understanding of nature applying those same principles for computation is perhaps the biggest engineering challenge of our time but one with incredible,0.05359032138591840
very excited for john to go from parttime 50 hoursweek to fulltime 100 hoursweek,johncoogan,five years ago i recorded my first youtube videotoday im going fulltime on tbpn tbpn my time at founders fund was incredibleheres 10000 hours in 48 seconds show more 044 044 29 29 11 11 720 720 40k 40k,,tbpn johncoogan,very excited for john to go from parttime 50 hoursweek to fulltime 100 hoursweek johncoogan five years ago i recorded my first youtube videotoday im going fulltime on tbpn tbpn my time at founders fund was incredibleheres 10000 hours in 48 seconds show more 044 044 29 29 11 11 720 720 40k 40k  tbpn johncoogan,0.05337695146131110
the real limiting factor for ai adoption will not be technologies that cant do tasks or people who cant learn technologies but leaders who cant change culture,,,,,the real limiting factor for ai adoption will not be technologies that cant do tasks or people who cant learn technologies but leaders who cant change culture    ,0.05336792075754080
if you pay high federal taxes you can likely squeeze out better performance by investing in a money market fund that exclusively invests in local munisreturns are very competitive right now 34 but zero federal taxesequivalent to a taxequivalent yield of 56,,,,,if you pay high federal taxes you can likely squeeze out better performance by investing in a money market fund that exclusively invests in local munisreturns are very competitive right now 34 but zero federal taxesequivalent to a taxequivalent yield of 56,0.053318059896896900
theres always money in the orchard robot,ccharliewu,just closed our first million dollar deal with a customer that grew 50x in 6 months of using our tech never been more bullish on orchard show more 13k 13k,,ccharliewu,theres always money in the orchard robot ccharliewu just closed our first million dollar deal with a customer that grew 50x in 6 months of using our tech never been more bullish on orchard show more 13k 13k  ccharliewu,0.053240878862092900
im not a bear i really do believe we have a version of agi here today that we will spend the next decade unrolling into the economybut the ai 2027 thing with both ends really underestimates how humans behave and assumes far too much rationality across the board,,,,,im not a bear i really do believe we have a version of agi here today that we will spend the next decade unrolling into the economybut the ai 2027 thing with both ends really underestimates how humans behave and assumes far too much rationality across the board,0.05320782662835020